student_id,final_score,ai_hours,prior_score,motivation,digital_skill,study_hours,assignment_quality,gender,class_id
1,69.86,10.12,64.35,4.95,6.29,13.05,84.69,0,15
2,67.35,0.33,51.38,4.44,3.89,12.31,69.26,1,20
3,70.85,6.14,72.71,4.92,3.28,11.6,75.56,1,18
4,90.45,13.83,82.82,6.38,7.35,16.93,86.72,1,18
5,69.55,7.61,69.25,5.67,3.46,12.41,77.5,1,18
6,67.94,7.57,71.84,5.43,3.01,9.67,81.18,1,7
7,75.39,11.46,77.42,6.48,6.43,12.64,82.95,1,12
8,44.1,1.0,59.49,4.67,4.05,12.04,69.61,1,14
9,66.73,2.65,65.02,5.72,5.2,13.73,78.37,1,17
10,48.11,5.74,65.53,2.63,2.6,10.72,68.35,1,13
11,52.04,0.79,48.09,2.34,3.64,7.34,55.26,1,14
12,68.92,6.03,63.33,4.66,7.34,10.92,71.93,0,18
13,75.59,11.58,83.36,5.42,4.19,13.72,89.21,0,6
14,55.36,0.0,52.7,2.6,1.0,9.13,60.21,0,15
15,65.57,5.95,76.44,3.75,4.69,10.26,70.54,0,15
16,61.22,7.14,55.19,5.0,5.85,7.43,75.16,0,10
17,76.43,9.78,90.97,5.35,4.96,11.91,84.93,1,18
18,62.58,9.29,69.16,7.28,6.33,15.87,81.49,0,12
19,79.01,5.64,67.94,7.65,6.68,12.27,77.32,1,5
20,80.54,13.27,82.17,8.52,5.48,19.79,95.89,1,6
21,67.98,12.87,75.52,6.5,7.6,14.92,83.66,0,15
22,80.11,13.6,76.31,9.34,5.93,19.73,93.97,0,17
23,60.72,0.0,70.79,3.3,4.23,9.18,64.93,0,11
24,75.03,5.94,70.25,6.5,4.74,12.29,81.79,1,4
25,60.28,3.08,62.5,4.9,3.25,11.45,73.89,1,10
26,76.8,8.02,79.24,6.2,3.06,11.47,84.61,0,17
27,57.13,0.0,41.28,2.96,4.85,7.46,61.7,0,14
28,79.02,10.61,61.59,5.24,7.22,11.7,81.72,0,7
29,69.94,7.96,59.96,6.09,7.42,12.26,74.75,1,1
30,67.44,5.15,69.19,3.99,3.57,11.21,81.01,0,8
31,60.66,5.64,69.83,6.04,4.71,16.91,76.52,0,5
32,56.72,0.0,50.15,3.54,3.51,11.06,63.01,0,9
33,75.44,7.79,72.04,4.98,6.32,9.86,85.64,0,17
