firm_id,innovation_score,ai_intensity,prior_innovation,rd_intensity,digital_capability,ln_employment,firm_age,export_share,industry
1,39.59,1.76,32.01,3.96,5.57,4.71,6.97,0.24,5
2,30.85,0.0,22.92,0.96,2.24,2.8,16.9,0.1,6
3,65.99,5.84,52.54,8.29,5.7,3.84,11.59,0.25,6
4,45.02,2.66,36.78,4.58,4.49,3.92,10.38,0.27,6
5,40.77,6.59,42.73,5.16,7.14,5.74,10.56,0.07,6
6,39.61,2.44,31.48,4.09,5.01,5.98,3.63,0.04,3
7,46.56,2.18,43.82,5.48,4.68,4.25,20.43,0.41,4
8,51.29,8.05,43.15,5.26,6.08,5.43,7.0,0.17,4
9,41.54,4.46,35.13,4.37,6.31,3.87,10.06,0.42,5
10,40.83,0.0,36.44,3.51,2.74,5.93,11.73,0.14,4
11,53.9,7.17,36.93,5.77,5.87,5.94,7.62,0.05,5
12,41.63,1.86,34.93,2.82,5.9,4.47,8.64,0.14,6
13,44.01,5.27,47.02,6.27,5.97,4.92,9.02,0.26,2
14,33.9,0.66,37.8,4.5,3.1,5.0,7.25,0.0,5
15,55.13,3.61,34.75,5.98,6.3,4.61,13.28,0.26,5
16,53.57,4.35,44.41,7.99,4.43,5.28,8.96,0.33,3
17,60.93,7.3,57.72,8.37,7.39,6.43,12.71,0.34,6
18,41.66,3.74,34.45,3.91,3.09,5.24,24.05,0.07,4
19,45.26,4.34,40.06,5.6,5.75,4.64,15.42,0.25,2
20,36.92,0.0,35.73,5.16,3.65,3.93,22.19,0.0,2
21,24.19,2.75,21.35,4.34,4.05,5.09,39.75,0.12,5
22,17.93,0.85,30.77,1.56,2.86,4.8,13.65,0.0,5
23,59.68,5.13,49.77,6.93,7.19,6.17,10.73,0.08,4
24,47.78,2.96,31.84,3.14,6.12,5.21,9.53,0.4,2
25,36.8,1.88,26.69,1.85,4.0,4.04,6.23,0.07,3
26,33.79,4.78,30.0,5.75,3.23,4.15,15.43,0.05,5
27,52.48,3.68,44.08,7.18,5.6,5.73,15.24,0.27,4
28,39.51,4.66,37.57,3.93,5.14,5.58,3.82,0.18,3
29,42.2,2.6,37.92,4.12,6.08,3.57,15.84,0.22,1
30,23.89,0.24,29.51,0.92,4.98,4.05,13.66,0.16,3
31,28.4,2.24,37.67,5.32,3.71,3.9,8.53,0.02,2
32,38.87,3.45,28.16,2.1,4.13,5.03,18.43,0.26,3
33,39.69,5.1,34.61,5.36,6.26,6.08,22.28,0.07,5
34,26.81,0.0,22.96,2.0,4.39,4.41,16.09,0.0,1
35,50.8,2.99,42.21,4.94,7.25,5.45,9.72,0.23,4
36,27.64,4.27,20.78,2.81,3.04,4.53,9.99,0.09,5
37,34.52,3.68,35.2,3.1,6.54,3.95,18.14,0.25,1
