pilot_id,scope_name,match_level,match_code,alias,rule
AI001,北京市,municipality,110000,北京市,match
AI001,北京市,municipality,110000,北京,match
AI001,北京市,municipality,110100,110100,match
AI002,上海市,municipality,310000,上海市,match
AI002,上海市,municipality,310000,上海,match
AI002,上海市,municipality,310100,310100,match
AI003,天津市,municipality,120000,天津市,match
AI003,天津市,municipality,120000,天津,match
AI003,天津市,municipality,120100,120100,match
AI004,深圳市,prefecture,440300,深圳市,match
AI004,深圳市,prefecture,440300,深圳,match
AI005,杭州市,prefecture,330100,杭州市,match
AI005,杭州市,prefecture,330100,杭州,match
AI006,合肥市,prefecture,340100,合肥市,match
AI006,合肥市,prefecture,340100,合肥,match
AI007,德清县,county,330521,德清县,match
AI007,德清县,county,330521,德清,match
AI007,德清县,county,330500,湖州市,do_not_match_whole_prefecture
AI008,重庆市,municipality,500000,重庆市,match
AI008,重庆市,municipality,500000,重庆,match
AI008,重庆市,municipality,500100,500100,match
AI009,成都市,prefecture,510100,成都市,match
AI009,成都市,prefecture,510100,成都,match
AI010,西安市,prefecture,610100,西安市,match
AI010,西安市,prefecture,610100,西安,match
AI011,济南市,prefecture,370100,济南市,match
AI011,济南市,prefecture,370100,济南,match
AI012,广州市,prefecture,440100,广州市,match
AI012,广州市,prefecture,440100,广州,match
AI013,武汉市,prefecture,420100,武汉市,match
AI013,武汉市,prefecture,420100,武汉,match
AI014,苏州市,prefecture,320500,苏州市,match
AI014,苏州市,prefecture,320500,苏州,match
AI015,长沙市,prefecture,430100,长沙市,match
AI015,长沙市,prefecture,430100,长沙,match
AI016,沈阳市,prefecture,210100,沈阳市,match
AI016,沈阳市,prefecture,210100,沈阳,match
AI017,哈尔滨市,prefecture,230100,哈尔滨市,match
AI017,哈尔滨市,prefecture,230100,哈尔滨,match
AI018,郑州市,prefecture,410100,郑州市,match
AI018,郑州市,prefecture,410100,郑州,match
