pilot_id,cohort_id,scope_level,scope_name,province,prefecture,county,approval_date,approval_year,first_full_year,document_no,source_url,matched_firms
AI001,C1,直辖市,北京市,北京市,北京市,,2019-02-20,2019,2020,国科函规〔2019〕27号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201902/t20190221_145133.html,504
AI002,C2,直辖市,上海市,上海市,上海市,,2019-05-22,2019,2020,国科函规〔2019〕80号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201906/t20190611_147034.html,468
AI003,C3,直辖市,天津市,天津市,天津市,,2019-10-17,2019,2020,国科函规〔2019〕182号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201910/t20191018_149417.html,73
AI004,C3,地级市,深圳市,广东省,深圳市,,2019-10-17,2019,2020,国科函规〔2019〕183号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201910/t20191018_149418.html,451
AI005,C3,地级市,杭州市,浙江省,杭州市,,2019-10-17,2019,2020,国科函规〔2019〕184号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201910/t20191018_149419.html,236
AI006,C3,地级市,合肥市,安徽省,合肥市,,2019-10-17,2019,2020,国科函规〔2019〕185号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201910/t20191018_149420.html,87
AI007,C4,县级,德清县,浙江省,湖州市,德清县,2019-11-02,2019,2020,国科函规〔2019〕194号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201911/t20191105_149777.html,10
AI008,C5,直辖市,重庆市,重庆市,重庆市,,2020-01-23,2020,2021,国科函规〔2020〕12号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2020/202003/t20200309_152219.html,80
AI009,C5,地级市,成都市,四川省,成都市,,2020-01-23,2020,2021,国科函规〔2020〕13号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2020/202003/t20200309_152220.html,127
AI010,C5,地级市,西安市,陕西省,西安市,,2020-01-23,2020,2021,国科函规〔2020〕14号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2020/202003/t20200309_152221.html,65
AI011,C5,地级市,济南市,山东省,济南市,,2020-01-23,2020,2021,国科函规〔2020〕15号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2020/202003/t20200309_152222.html,49
AI012,C6,地级市,广州市,广东省,广州市,,2020-09-03,2020,2021,国科函规〔2020〕171号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2020/202009/t20200904_158650.html,160
AI013,C6,地级市,武汉市,湖北省,武汉市,,2020-09-03,2020,2021,国科函规〔2020〕172号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2020/202009/t20200904_158651.html,84
AI014,C7,地级市,苏州市,江苏省,苏州市,,2021-03-19,2021,2022,国科函规〔2021〕63号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2021/202103/t20210324_173509.html,231
AI015,C7,地级市,长沙市,湖南省,长沙市,,2021-03-19,2021,2022,国科函规〔2021〕64号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2021/202103/t20210324_173510.html,88
AI016,C8,地级市,沈阳市,辽宁省,沈阳市,,2021-11-13,2021,2022,国科函规〔2021〕256号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2021/202112/t20211207_178439.html,29
AI017,C8,地级市,哈尔滨市,黑龙江省,哈尔滨市,,2021-11-13,2021,2022,国科函规〔2021〕257号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2021/202112/t20211207_178440.html,32
AI018,C8,地级市,郑州市,河南省,郑州市,,2021-11-13,2021,2022,国科函规〔2021〕258号,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2021/202112/t20211207_178438.html,40
