step,item,before,after,rule
分层企业抽样,AI001,264,132,随机种子20260720，按企业抽取约50%
分层企业抽样,AI002,226,113,随机种子20260720，按企业抽取约50%
分层企业抽样,AI003,38,19,随机种子20260720，按企业抽取约50%
分层企业抽样,AI004,231,116,随机种子20260720，按企业抽取约50%
分层企业抽样,AI005,108,54,随机种子20260720，按企业抽取约50%
分层企业抽样,AI006,42,21,随机种子20260720，按企业抽取约50%
分层企业抽样,AI007,6,3,随机种子20260720，按企业抽取约50%
分层企业抽样,AI008,37,18,随机种子20260720，按企业抽取约50%
分层企业抽样,AI009,59,30,随机种子20260720，按企业抽取约50%
分层企业抽样,AI010,26,13,随机种子20260720，按企业抽取约50%
分层企业抽样,AI011,18,9,随机种子20260720，按企业抽取约50%
分层企业抽样,AI012,88,44,随机种子20260720，按企业抽取约50%
分层企业抽样,AI013,43,22,随机种子20260720，按企业抽取约50%
分层企业抽样,AI014,90,45,随机种子20260720，按企业抽取约50%
分层企业抽样,AI015,51,26,随机种子20260720，按企业抽取约50%
分层企业抽样,AI016,14,7,随机种子20260720，按企业抽取约50%
分层企业抽样,AI017,13,6,随机种子20260720，按企业抽取约50%
分层企业抽样,AI018,22,11,随机种子20260720，按企业抽取约50%
分层企业抽样,CONTROL,1456,728,随机种子20260720，按企业抽取约50%
控制变量年度缩尾,size,19.3835—28.7908,19.8923—26.7244,每年1%—99%缩尾，调整330个值
控制变量年度缩尾,lev,0.0142676—1.57894,0.0313026—0.931911,每年1%—99%缩尾，调整330个值
控制变量年度缩尾,roa,-0.681959—0.879588,-0.278707—0.237372,每年1%—99%缩尾，调整330个值
控制变量年度缩尾,growth,-1.30916—251.211,-0.651076—2.50667,每年1%—99%缩尾，调整330个值
控制变量年度缩尾,fixed,0.000159116—0.954179,0.00296109—0.707042,每年1%—99%缩尾，调整330个值
控制变量年度缩尾,cashflow,-0.454367—0.664138,-0.200641—0.261353,每年1%—99%缩尾，调整330个值
明显量纲修正,汕头市2014年GDP增速,109,10.9,结合相邻年份识别为小数点错位
明显量纲修正,深圳市2022年GDP增速,330,3.3,结合相邻年份识别为百分数放大100倍
城市变量教学插补,c_gdp,缺失305个城市—年份,无缺失,城市内线性插值→年度中位数→总体中位数，填补305个
城市变量教学插补,c_gdp_pc,缺失309个城市—年份,无缺失,城市内线性插值→年度中位数→总体中位数，填补309个
城市变量教学插补,c_gdp_growth,缺失305个城市—年份,无缺失,城市内线性插值→年度中位数→总体中位数，填补305个
城市变量教学插补,c_gdp_share_tertiary,缺失306个城市—年份,无缺失,城市内线性插值→年度中位数→总体中位数，填补306个
城市变量教学插补,c_sci_tech_exp,缺失296个城市—年份,无缺失,城市内线性插值→年度中位数→总体中位数，填补296个
城市变量教学插补,c_telecom_revenue,缺失339个城市—年份,无缺失,城市内线性插值→年度中位数→总体中位数，填补339个
城市变量教学插补,c_mobile_subscribers,缺失322个城市—年份,无缺失,城市内线性插值→年度中位数→总体中位数，填补322个
