pilot_id,cohort_id,cohort_order,scope_level,scope_name,scope_gb_code,province,province_code,prefecture,prefecture_code,county,county_code,approval_date,approval_year,first_full_year,publication_date,document_no,index_no,recipient,policy_focus,source_url,checked_on,notes
AI001,C1,1,直辖市,北京市,110000,北京市,110000,北京市,110100,,,2019-02-20,2019,2020,2019-02-21,国科函规〔2019〕27号,306-32-2019-133,北京市人民政府,原始创新；高精尖产业；政策法规；伦理规范；人才引育；数据开放共享,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201902/t20190221_145133.html,2026-07-19,处理范围按北京市全域；若企业数据使用110100也应映射为北京市
AI002,C2,2,直辖市,上海市,310000,上海市,310000,上海市,310100,,,2019-05-22,2019,2020,2019-06-11,国科函规〔2019〕80号,306-32-2019-034,上海市人民政府,高端创新资源；应用场景；产业赋能；开放合作；人工智能治理；社会实验,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201906/t20190611_147034.html,2026-07-19,处理范围按上海市全域；若企业数据使用310100也应映射为上海市
AI003,C3,3,直辖市,天津市,120000,天津市,120000,天津市,120100,,,2019-10-17,2019,2020,2019-10-18,国科函规〔2019〕182号,306-32-2019-417,天津市人民政府,算力与数据资源；智能科技产业；产业升级；城市运营；社会治理；新工科人才培养,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201910/t20191018_149417.html,2026-07-19,处理范围按天津市全域；若企业数据使用120100也应映射为天津市
AI004,C3,3,地级市,深圳市,440300,广东省,440000,深圳市,440300,,,2019-10-17,2019,2020,2019-10-18,国科函规〔2019〕183号,306-32-2019-418,广东省人民政府,基础前沿与核心技术；智能化基础设施；成果转化；产业链；要素流动；开放创新生态,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201910/t20191018_149418.html,2026-07-19,深圳为计划单列市；按深圳市行政范围匹配
AI005,C3,3,地级市,杭州市,330100,浙江省,330000,杭州市,330100,,,2019-10-17,2019,2020,2019-10-18,国科函规〔2019〕184号,306-32-2019-419,浙江省人民政府,基础研究与核心技术；应用示范；数字经济；人才培养；创业孵化；开源开放共享,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201910/t20191018_149419.html,2026-07-19,杭州与德清分别获得独立批复；不可把德清并入杭州处理
AI006,C3,3,地级市,合肥市,340100,安徽省,340000,合肥市,340100,,,2019-10-17,2019,2020,2019-10-18,国科函规〔2019〕185号,306-32-2019-420,安徽省人民政府,智能语音；机器人；基础前沿与核心技术；创新平台；投融资服务；产学研用协同,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201910/t20191018_149420.html,2026-07-19,按合肥市行政范围匹配
AI007,C4,4,县级,德清县,330521,浙江省,330000,湖州市,330500,德清县,330521,2019-11-02,2019,2020,2019-11-05,国科函规〔2019〕194号,306-32-2019-777,浙江省人民政府,自动驾驶；智能农业；县域智能治理；乡村振兴；场景开放；县域社会实验,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201911/t20191105_149777.html,2026-07-19,仅德清县属于处理范围；企业数据若只有湖州市字段则不能把湖州市整体编码为处理组
AI008,C5,5,直辖市,重庆市,500000,重庆市,500000,重庆市,500100,,,2020-01-23,2020,2021,2020-03-09,国科函规〔2020〕12号,306-32-2020-219,重庆市人民政府,智能制造；智慧城市；人工智能硬件与机器人；数据保护与共享；金融服务；政府治理,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2020/202003/t20200309_152219.html,2026-07-19,处理范围按重庆市全域；若企业数据使用500100也应映射为重庆市
AI009,C5,5,地级市,成都市,510100,四川省,510000,成都市,510100,,,2020-01-23,2020,2021,2020-03-09,国科函规〔2020〕13号,306-32-2020-220,四川省人民政府,基础与前沿研发；智能空管；普惠金融；智慧医疗；行业融合；数据安全治理,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2020/202003/t20200309_152220.html,2026-07-19,按成都市行政范围匹配
AI010,C5,5,地级市,西安市,610100,陕西省,610000,西安市,610100,,,2020-01-23,2020,2021,2020-03-09,国科函规〔2020〕14号,306-32-2020-221,陕西省人民政府,智能感知与交互；核心技术；先进制造；文创旅游；商贸物流；数据开放共享,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2020/202003/t20200309_152221.html,2026-07-19,按西安市行政范围匹配
