variable,meaning,type_unit,note
firm_id,重新匿名化的企业编号,text,半合成样本内唯一企业标识
year,统计年份,integer,2011—2024
analysis_city_id,统一城市编号,text,城市聚类编号
did_treated,是否属于试点范围,0/1,处理组企业取1
did_post_full,主处理变量,0/1,批复后第一个完整年度起取1
did_post_approval,替代处理变量,0/1,批复当年起取1
gvar,年度首次处理组,year/0,处理组为2020/2021/2022，从未处理为0
event_time_full,相对处理年份,integer,从未处理企业为空
rd_intensity_w,半合成研发投入强度,ratio,主要结果变量；非真实政策结果
ln_patent_invention,半合成发明专利申请对数,log,ln(1+半合成申请数)
patent_app_invention,半合成发明专利申请数,count,由对数结果反算并四舍五入
size,企业规模,log,按年度1%—99%缩尾
lev,资产负债率,ratio,按年度1%—99%缩尾
roa,总资产收益率,ratio,负值有经济含义，按年度缩尾
growth,营业收入成长性,ratio,负值有经济含义，按年度缩尾
fixed,有形资产比重,ratio,按年度缩尾并限制在0—1
cashflow,经营现金流,ratio,负值有经济含义，按年度缩尾
firm_age,企业年龄,log/years,沿用清洗后的源表口径
soe,国有企业,0/1,所有制分组
tech_industry,技术相关行业示范分组,0/1,教材预设行业编码规则
ln_gov_subsidy,半合成政府补助对数,log,机制变量；政策后设有正向效应
kz_index,半合成KZ指数,index,机制变量；未植入政策效应
sa_index,半合成SA指数,index,机制变量；未植入政策效应
ln_rd_staff,半合成研发人员对数,log,机制变量；植入较弱政策效应
is_semisynthetic,半合成数据标记,0/1,本文件始终为1
synthetic_effect_rd,植入的研发政策效应,ratio,仅用于教学审计
synthetic_effect_patent,植入的专利政策效应,log,仅用于教学审计
rd_intensity_source_reference,抽样前研发结果参考值,ratio,不得用于宣称现实政策结论
ln_patent_source_reference,抽样前专利结果参考值,log,不得用于宣称现实政策结论
