section,label,outcome,coefficient,std_error,p_value,ci_low,ci_high,observations,firms,cities
主要结果,研发投入强度：无控制,rd_intensity_w,0.008581578540736753,0.00043848822180815464,0.0,0.00772214162599277,0.009441015455480737,15863,1389,183
主要结果,研发投入强度：加入控制,rd_intensity_w,0.008548727478874895,0.00046508314969781375,0.0,0.00763716450546718,0.00946029045228261,15863,1389,183
主要结果,发明专利申请：无控制,ln_patent_invention,0.23973565400431354,0.015139025586466822,0.0,0.21006316385483859,0.2694081441537885,15863,1389,183
主要结果,发明专利申请：加入控制,ln_patent_invention,0.2402856519110865,0.015199515661038427,0.0,0.2104946012154512,0.27007670260672184,15863,1389,183
交错DID,研发投入强度：总体ATT,rd_intensity_w,0.0078102064942133596,0.0012346186126568621,2.515857369143111e-10,0.00539035401340591,0.010230058975020809,15863,1389,183
交错DID,发明专利申请：总体ATT,ln_patent_invention,0.28707979723071586,0.017709807499131678,4.270680013562194e-59,0.2523685745324178,0.32179101992901393,15863,1389,183
异质性,研发投入强度：其他行业,rd_intensity_w,0.0074698479657413774,0.0005975650443615507,0.0,0.006298620478792738,0.008641075452690017,10960,982,165
异质性,研发投入强度：技术相关行业,rd_intensity_w,0.010439236584859629,0.0008291705291510175,0.0,0.008814062347723634,0.012064410821995624,4903,491,106
异质性,发明专利申请：其他行业,ln_patent_invention,0.19929578166783574,0.019667415117836106,0.0,0.16074764803687697,0.2378439152987945,10960,982,165
异质性,发明专利申请：技术相关行业,ln_patent_invention,0.30269637902999325,0.026577600645800687,0.0,0.2506042817642239,0.3547884762957626,4903,491,106
机制,政府补助,ln_gov_subsidy,0.3077446007029065,0.012757463805203269,0.0,0.2827399716447081,0.3327492297611049,15863,1389,183
机制,KZ融资约束,kz_index,-0.0005825557948338589,0.0018520313574442659,0.7531081599062288,-0.00421253725542462,0.003047425665756902,15863,1389,183
机制,SA融资约束,sa_index,-0.0032338421328441014,0.003850446997256439,0.4009999402348243,-0.01078071824746672,0.004313033981778519,15863,1389,183
机制,研发人员,ln_rd_staff,0.048461917704548586,0.009330733787875878,2.0884728457737367e-07,0.030173679480311865,0.0667501559287853,15863,1389,183
